,Baths,Beds,Location,Square Meter,base_price,city,country,page,price_usd,property_type,sub_div,Longitude,Latitude
979,4,4,"Flowers Park, North Investors Area, New Cairo City, Cairo",380,7650000,Cairo,Egypt,buy,120334500.0,Twin House,New Cairo City,30.02012785,31.498220627134504
980,5,5,"Mountain View 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",600,14500000,Cairo,Egypt,buy,228085000.0,Villa,New Cairo City,30.06310285,31.455447475107487
983,3,3,"Uptown Cairo, Mokattam, Cairo",190,4350000,Cairo,Egypt,buy,68425500.0,Apartment,Mokattam,30.048819,31.243666
985,4,4,"Uptown Cairo, Mokattam, Cairo",313,5500000,Cairo,Egypt,buy,86515000.0,Villa,Mokattam,30.048819,31.243666
986,7+,7+,"Katameya Heights, El Katameya Compounds, El Katameya, New Cairo City, Cairo","3,008",112000000,Cairo,Egypt,buy,1761760000.0,Villa,New Cairo City,29.9921014,31.4046293
988,1,2,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",128,2220000,Cairo,Egypt,buy,34920600.0,Apartment,New Cairo City,30.06310285,31.455447475107487
989,2,3,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",187,3920000,Cairo,Egypt,buy,61661600.0,Apartment,New Cairo City,30.06310285,31.455447475107487
992,3,3,"Palm City, El Katameya Compounds, El Katameya, New Cairo City, Cairo",190,1140000,Cairo,Egypt,buy,17932200.0,Apartment,New Cairo City,29.9921014,31.4046293
993,3,3,"Tag Sultan, Ring Road, Cairo",160,1700000,Cairo,Egypt,buy,26741000.0,Apartment,New Cairo City,30.048819,31.243666
996,2,3,"Palm City, El Katameya Compounds, El Katameya, New Cairo City, Cairo",124,1091200,Cairo,Egypt,buy,17164576.0,Apartment,New Cairo City,29.9921014,31.4046293
998,2,3,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",140,692000,Cairo,Egypt,buy,10885160.0,Apartment,New Cairo City,30.02012785,31.498220627134504
999,2,2,"El Narges Buildings, Al Narges, New Cairo City, Cairo",212,1800000,Cairo,Egypt,buy,28314000.0,Duplex,New Cairo City,30.02012785,31.498220627134504
1000,7+,2,"5th Neighborhood, 3rd District West, Shorouk City, Cairo","1,800",10800000,Cairo,Egypt,buy,169884000.0,Whole Building,Shorouk City,30.11974305,31.606946946156224
1001,2,4,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",145,2730000,Cairo,Egypt,buy,42942900.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1005,3,3,"Uptown Cairo, Mokattam, Cairo",304,19100000,Cairo,Egypt,buy,300443000.0,Villa,Mokattam,30.048819,31.243666
1006,4,7,"Les Rois, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",457,8000000,Cairo,Egypt,buy,125840000.0,Townhouse,New Cairo City,30.06310285,31.455447475107487
1007,6,3,"La Nuova Vista, North Investors Area, New Cairo City, Cairo",585,15000000,Cairo,Egypt,buy,235950000.0,Villa,New Cairo City,30.02012785,31.498220627134504
1008,3,2,"Mirage Residence, The 1st Settlement, New Cairo City, Cairo",300,4150000,Cairo,Egypt,buy,65279500.0,Penthouse,New Cairo City,30.02012785,31.498220627134504
1009,7,6,"El Narges Buildings, Al Narges, New Cairo City, Cairo",800,7000000,Cairo,Egypt,buy,110110000.0,Villa,New Cairo City,30.02012785,31.498220627134504
1010,2,1,"Mirage Residence, The 1st Settlement, New Cairo City, Cairo",90,1700000,Cairo,Egypt,buy,26741000.0,Apartment,New Cairo City,30.02012785,31.498220627134504
1011,3,3,"Street 20, District 3, The 5th Settlement, New Cairo City, Cairo",220,2200000,Cairo,Egypt,buy,34606000.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1012,3,3,"The Address East, 90 Street, The 5th Settlement, New Cairo City, Cairo",210,2700000,Cairo,Egypt,buy,42471000.0,Apartment,New Cairo City,30.06310285,31.455447475107487
1013,2,3,"Plot 62, Group 65, 6th District, New Heliopolis, Cairo",150,810000,Cairo,Egypt,buy,12741300.0,Apartment,New Heliopolis,30.1594337,31.760475305305036
1014,3,3,"Plot 15, Group 24, 2nd District, New Heliopolis, Cairo",295,1262010,Cairo,Egypt,buy,19851417.3,Apartment,New Heliopolis,30.1594337,31.760475305305036
1015,2,3,"Fifth Square, North Investors Area, New Cairo City, Cairo",160,3100000,Cairo,Egypt,buy,48763000.0,Apartment,New Cairo City,30.02012785,31.498220627134504
1016,1,2,"Plot 62, Group 65, 6th District, New Heliopolis, Cairo",100,500000,Cairo,Egypt,buy,7865000.0,Apartment,New Heliopolis,30.1594337,31.760475305305036
1017,2,2,"El Sharbatly, The 5th Settlement, New Cairo City, Cairo",183,2550000,Cairo,Egypt,buy,40111500.0,Apartment,New Cairo City,30.02012785,31.498220627134504
