Baths,Beds,Location,Square Meter,base_price,city,country,page,price_usd,property_type,sub_div,Longitude,Latitude,geometry
1,2,"New Giza, Cairo Alexandria Desert Road, 6 October City, Giza",100,1790000, Giza,Egypt,buy,28156700.0,Apartment, 6 October City,30.1176285,31.367206,POINT (31.367206 30.1176285)
3,3,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",197,2960000, Cairo,Egypt,buy,46560800.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
6,5,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",360,10000000, Cairo,Egypt,buy,157300000.0,Villa, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,4,"Mountain View 3, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",262,5600000, Cairo,Egypt,buy,88088000.0,Villa, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
2,2,"Azha, Al Ain Al Sokhna, Suez",100,1974000, Suez,Egypt,buy,31051020.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909,POINT (31.54437395381909 30.0742818)
1,2,"Blue Bay Asia, Al Ain Al Sokhna, Suez",100,1200000, Suez,Egypt,buy,18876000.0,Chalet, Al Ain Al Sokhna,30.0742818,31.54437395381909,POINT (31.54437395381909 30.0742818)
4,4,"Palm Hills Golf Views, Cairo Alexandria Desert Road, 6 October City, Giza",309,6800000, Giza,Egypt,buy,106964000.0,Townhouse, 6 October City,30.1176285,31.367206,POINT (31.367206 30.1176285)
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",435,7900000, Cairo,Egypt,buy,124267000.0,Villa, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
4,4,"Ancient Sands Resort, Al Gouna, Hurghada, Red Sea",190,9500000, Red Sea,Egypt,buy,149435000.0,Villa, Hurghada,30.0582499,31.301586100000005,POINT (31.30158610000001 30.0582499)
2,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",255,4200000, Cairo,Egypt,buy,66066000.0,Apartment, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,3,"Jedar, 6 October Compounds, 6 October City, Giza",190,2650000, Giza,Egypt,buy,41684500.0,Apartment, 6 October City,30.1176285,31.367206,POINT (31.367206 30.1176285)
3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",300,2500000, Cairo,Egypt,buy,39325000.0,iVilla, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
2,3,"IL Monte Galala, Al Ain Al Sokhna, Suez",220,5900000, Suez,Egypt,buy,92807000.0,Villa, Al Ain Al Sokhna,30.0742818,31.54437395381909,POINT (31.54437395381909 30.0742818)
3,3,"Porto New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",180,3000000, Cairo,Egypt,buy,47190000.0,Duplex, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
3,4,"The Sierras, Uptown Cairo, Mokattam, Cairo",310,6150000, Cairo,Egypt,buy,96739500.0,Duplex, Mokattam,30.033333,31.283333,POINT (31.283333 30.033333)
3,3,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",145,223800, Cairo,Egypt,buy,3520374.0,Apartment, New Cairo City,30.02012785,31.498220627134504,POINT (31.4982206271345 30.02012785)
3,3,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",278,430000, Cairo,Egypt,buy,6763900.0,iVilla, New Cairo City,30.06310285,31.455447475107487,POINT (31.45544747510749 30.06310285)
