,Location,price_EGP,price_usd,property_type,Beds,Baths,Square Meter,city,sub_div
485,"Pyramids Heights, Cairo Alexandria Desert Road, 6 October City, Giza",6700000.0,105592000.0,Villa,5,5,350, Giza, 6 October City
486,"Hacienda, North Coast",3300000.0,52008000.0,Chalet,4,3,400, North Coast,Hacienda
487,"Hacienda, North Coast",3900000.0,61464000.0,Chalet,4,5,235, North Coast,Hacienda
488,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",9250000.0,145780000.0,Villa,4,4,350, Cairo, New Cairo City
489,"Marassi, Sidi Abdel Rahman, North Coast",30000000.0,472800000.0,Villa,5,6,525, North Coast, Sidi Abdel Rahman
490,"Hacienda Bay, Sidi Abdel Rahman, North Coast",17500000.0,275800000.0,Villa,7,7,520, North Coast, Sidi Abdel Rahman
491,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4600000.0,72496000.0,Twin House,4,4,319, Cairo, New Cairo City
492,"Sarayat Al Maadi, Hay El Maadi, Cairo",5200000.0,81952000.0,Apartment,3,3,350, Cairo, Hay El Maadi
493,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3450000.0,54372000.0,Apartment,3,3,215, Cairo, New Cairo City
494,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3800000.0,59888000.0,Duplex,4,3,200, Cairo, New Cairo City
495,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3500000.0,55160000.0,Penthouse,4,5,335, Cairo, New Cairo City
496,"Allegria, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",18500000.0,291560000.0,Villa,6,7,530, Giza, Sheikh Zayed City
497,"The Village, South Investors Area, New Cairo City, Cairo",2850000.0,44916000.0,Apartment,2,2,146, Cairo, New Cairo City
498,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6500000.0,102440000.0,Twin House,3,3,229, Cairo, New Cairo City
499,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5500000.0,86680000.0,Townhouse,3,3,285, Cairo, New Cairo City
500,"Armonia, New Capital Compounds, New Capital City, Cairo",1433151.0,22586459.759999998,Apartment,3,2,135, Cairo, New Capital City
501,"El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",900000.0,14184000.0,Apartment,3,2,164, Cairo, New Cairo City
502,"West Hills Residence, Ring Road, 6 October City, Giza",3600000.0,56736000.0,Duplex,3,3,290, Giza, 6 October City
503,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4366000.0,68808160.0,Apartment,3,3,191, Cairo, New Cairo City
504,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",9100000.0,143416000.0,Villa,4,4,356, Cairo, New Cairo City
505,"Blue Bay Asia, Al Ain Al Sokhna, Suez",1200000.0,18912000.0,Chalet,2,1,100, Suez, Al Ain Al Sokhna
506,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",300000.0,4728000.0,Apartment,2,2,142, Cairo, New Cairo City
507,"Hassan Khater St., El Nozha El Gadida, El Nozha, Cairo",1820000.0,28683200.0,Apartment,3,3,260, Cairo, El Nozha
508,"Dyar, Ext North Inves Area, New Cairo City, Cairo",8250000.0,130020000.0,Villa,4,5,345, Cairo, New Cairo City
509,"Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2000000.0,31520000.0,Apartment,2,2,144, Cairo, New Cairo City
510,"Dyar Compound, 90 Street, The 5th Settlement, New Cairo City, Cairo",9000000.0,141840000.0,Villa,4,5,345, Cairo, New Cairo City
511,"Dyar, Ext North Inves Area, New Cairo City, Cairo",10500000.0,165480000.0,Villa,5,6,450, Cairo, New Cairo City
512,"IL Monte Galala, Al Ain Al Sokhna, Suez",8500000.0,133960000.0,Villa,4,5,275, Suez, Al Ain Al Sokhna
513,"Cairo Gate, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",4190000.0,66034400.0,Apartment,3,2,150, Giza, Sheikh Zayed City
514,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",9500000.0,149720000.0,Villa,5,4,356, Cairo, New Cairo City
