Baths,Beds,Location,Square Meter,base_price,city,country,page,price_usd,property_type,sub_div,lat,lon
7,6,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",630,17250000, Cairo,Egypt,buy,271342500.0,Villa, New Cairo City,30.02012785,31.498220627134504
4,3,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",302,3800000, Cairo,Egypt,buy,59774000.0,Duplex, New Cairo City,30.06310285,31.45544747510749
6,6,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",620,13000000, Cairo,Egypt,buy,204490000.0,Villa, New Cairo City,30.02012785,31.498220627134504
2,3,"El Narges Buildings, Al Narges, New Cairo City, Cairo",205,1850000, Cairo,Egypt,buy,29100500.0,Apartment, New Cairo City,30.02012785,31.498220627134504
4,4,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",236,2200000, Cairo,Egypt,buy,34606000.0,Apartment, New Cairo City,30.06310285,31.45544747510749
1,2,"Mangroovy Residence, Al Gouna, Hurghada, Red Sea",100,4400000, Red Sea,Egypt,buy,69212000.0,Apartment, Hurghada,30.0582499,31.3015861
4,4,"Palm Hills Golf Extension, Al Wahat Road, 6 October City, Giza",390,5500000, Giza,Egypt,buy,86515000.0,Villa, 6 October City,30.1176285,31.367206
3,4,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",287,3200000, Cairo,Egypt,buy,50336000.0,iVilla, New Cairo City,30.06310285,31.45544747510749
4,4,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",220,3500000, Cairo,Egypt,buy,55055000.0,Penthouse, New Cairo City,30.06310285,31.45544747510749
5,5,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",440,8000000, Cairo,Egypt,buy,125840000.0,Villa, New Cairo City,30.06310285,31.45544747510749
4,4,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",250,7000000, Cairo,Egypt,buy,110110000.0,Villa, New Cairo City,30.06310285,31.45544747510749
2,2,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",133,2200000, Cairo,Egypt,buy,34606000.0,Apartment, New Cairo City,30.06310285,31.45544747510749
3,3,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",238,2225000, Cairo,Egypt,buy,34999250.0,Apartment, New Cairo City,30.06310285,31.45544747510749
7+,6,"Aly Sharawy St., Al Narges 5, Al Narges, New Cairo City, Cairo","1,530",25000000, Cairo,Egypt,buy,393250000.0,Villa, New Cairo City,30.16316725,31.694583684837603
6,6,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",500,12000000, Cairo,Egypt,buy,188760000.0,Villa, New Cairo City,30.06310285,31.45544747510749
4,5,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",500,11800000, Cairo,Egypt,buy,185614000.0,Villa, New Cairo City,30.06310285,31.45544747510749
3,3,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",185,1650000, Cairo,Egypt,buy,25954500.0,Apartment, New Cairo City,30.06310285,31.45544747510749
3,4,"The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",210,2000000, Cairo,Egypt,buy,31460000.0,Apartment, New Cairo City,30.06310285,31.45544747510749
