Baths,Beds,Location,Square Meter,base_price,city,country,page,property_type,sub_div
4,,"Capital Business Park, 26th of July Corridor, Sheikh Zayed City, Giza",950,420000, Giza,Egypt,comm,Office Space, Sheikh Zayed City
1,,"Mecca Al Mokarama St., 7th District, 6 October City, Giza","2,000",200000, Giza,Egypt,comm,Full Floor, 6 October City
1,,"Bank Center Street, South Teseen St., The 5th Settlement, New Cairo City, Cairo",125,65625, Cairo,Egypt,comm,Office Space, New Cairo City
2,,"The Water Way, North Investors Area, New Cairo City, Cairo",180,144000, Cairo,Egypt,comm,Office Space, New Cairo City
,,"Downtown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",255,146000, Cairo,Egypt,comm,Office Space, New Cairo City
,,"Lebanon St., Mohandessin, Giza",500,50000, Giza,Egypt,comm,Office Space, Mohandessin
,,"Trivium Business Complex, North Teseen St., The 5th Settlement, New Cairo City, Cairo",58,24000, Cairo,Egypt,comm,Office Space, New Cairo City
,,"Beverly Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",82,10000, Giza,Egypt,comm,Office Space, Sheikh Zayed City
,,"Smart Village, Cairo Alexandria Desert Road, 6 October City, Giza",400,80000, Giza,Egypt,comm,Office Space, 6 October City
1,,"Trivium Business Complex, North Teseen St., The 5th Settlement, New Cairo City, Cairo",58,24000, Cairo,Egypt,comm,Office Space, New Cairo City
2,,"Smart Village, Cairo Alexandria Desert Road, 6 October City, Giza",400,80000, Giza,Egypt,comm,Office Space, 6 October City
7+,,"Beverly Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",800,360000, Giza,Egypt,comm,Shop, Sheikh Zayed City
7,,"Smart Village, Cairo Alexandria Desert Road, 6 October City, Giza","5,000",2000000, Giza,Egypt,comm,Office Space, 6 October City
1,,"Smart Village, Cairo Alexandria Desert Road, 6 October City, Giza","1,033",600000, Giza,Egypt,comm,Office Space, 6 October City
4,,"Cairo Business Plaza, North Teseen St., The 5th Settlement, New Cairo City, Cairo",90,45000, Cairo,Egypt,comm,Office Space, New Cairo City
1,,"Egyptian Media Production City, Al Wahat Road, 6 October City, Giza",113,37000, Giza,Egypt,comm,Shop, 6 October City
1,,"North Teseen St., The 5th Settlement, New Cairo City, Cairo",49,20000, Cairo,Egypt,comm,Office Space, New Cairo City
1,,"South Teseen St., The 5th Settlement, New Cairo City, Cairo",60,24000, Cairo,Egypt,comm,Office Space, New Cairo City
1,,"North Teseen St., The 5th Settlement, New Cairo City, Cairo",250,165000, Cairo,Egypt,comm,Shop, New Cairo City
2,,"North Teseen St., The 5th Settlement, New Cairo City, Cairo",104,50000, Cairo,Egypt,comm,Office Space, New Cairo City
1,,"Capital Business Park, 26th of July Corridor, Sheikh Zayed City, Giza",100,47000, Giza,Egypt,comm,Office Space, Sheikh Zayed City
7+,,"Trivium Business Complex, North Teseen St., The 5th Settlement, New Cairo City, Cairo",105,45000, Cairo,Egypt,comm,Office Space, New Cairo City
7+,,"Cairo Business Plaza, North Teseen St., The 5th Settlement, New Cairo City, Cairo",90,45000, Cairo,Egypt,comm,Office Space, New Cairo City
7+,,"Waslet Dahshur Road, Green Belt, 6 October City, Giza","1,600",85000, Giza,Egypt,comm,Shop, 6 October City
7+,,"Trivium Business Complex, North Teseen St., The 5th Settlement, New Cairo City, Cairo",60,25000, Cairo,Egypt,comm,Office Space, New Cairo City
7+,,"Trivium Business Complex, North Teseen St., The 5th Settlement, New Cairo City, Cairo",120,50000, Cairo,Egypt,comm,Office Space, New Cairo City
2,,"Abdel Hamid Badawy St., Sheraton Al Matar, El Nozha, Cairo","3,000",650000, Cairo,Egypt,comm,Retail, El Nozha
2,,"Cairo Business Plaza, North Teseen St., The 5th Settlement, New Cairo City, Cairo",90,39000, Cairo,Egypt,comm,Office Space, New Cairo City
7+,,"Bank Center Street, South Teseen St., The 5th Settlement, New Cairo City, Cairo",180,70000, Cairo,Egypt,comm,Office Space, New Cairo City
1,,"Bank Center Street, South Teseen St., The 5th Settlement, New Cairo City, Cairo","1,200",684000, Cairo,Egypt,comm,Office Space, New Cairo City
5,,"Trivium Business Complex, North Teseen St., The 5th Settlement, New Cairo City, Cairo",80,40000, Cairo,Egypt,comm,Office Space, New Cairo City
3,,"Abdel Hamid Badawy St., Sheraton Al Matar, El Nozha, Cairo",400,100000, Cairo,Egypt,comm,Office Space, El Nozha
7+,,"Bank Center Street, South Teseen St., The 5th Settlement, New Cairo City, Cairo",250,100000, Cairo,Egypt,comm,Office Space, New Cairo City
,,"Midtown, South Investors Area, New Cairo City, Cairo",150,120000, Cairo,Egypt,comm,Office Space, New Cairo City
